"Datasheet","Image","DK Part #","Mfr Part #","Mfr","Supplier","Description","Stock","Price","@ qty","Min Qty","Package","Series","Part Status","Type","Threaded/Unthreaded","Gender","Screw, Thread Size","Diameter - Inside","Diameter - Outside","Between Board Height","Length - Overall","Features","Material","Plating","Color"
"http://dpk3n3gg92jwt.cloudfront.net/domains/raf/pdf/RAF%20Catalog.pdf","//media.digikey.com/Photos/RAF Electronic Hardware/4503-256-SS-20.jpg","1772-2688-ND","4503-256-SS-20","RAF Electronic Hardware","RAF Electronic Hardware","3/16 HEX X 3/8 LENGTH","310","3.03","0","1","Bulk","-","Active","Hex Standoff","Threaded","Male, Female","#2-56","-","0.188"""" (4.78mm) 3/16"""" Hex","0.375"""" (9.53mm) 3/8","0.531"""" (13.49mm)","-","Stainless Steel","Passivated","-"
"http://dpk3n3gg92jwt.cloudfront.net/domains/raf/pdf/RAF%20Catalog.pdf","//media.digikey.com/Photos/RAF%20Electronic%20Hardware/4507-256-SS.jpg","1772-2637-ND","4507-256-SS","RAF Electronic Hardware","RAF Electronic Hardware","3/16 HEX X 5/8 LENGTH","288","3.22","0","1","Bulk","-","Active","Hex Standoff","Threaded","Male, Female","#2-56","-","0.188"""" (4.78mm) 3/16"""" Hex","0.625"""" (15.88mm) 5/8","0.781"""" (19.84mm)","-","Stainless Steel","-","-"
"http://dpk3n3gg92jwt.cloudfront.net/domains/raf/pdf/RAF_catalog_0121.pdf","//media.digikey.com/Photos/RAF%20Electronic%20Hardware/4501-256-S-12.jpg","1772-3020-ND","4501-256-S-12","RAF Electronic Hardware","RAF Electronic Hardware","3/16 HEX X 1/4 LENGTH","1,376","1.07","0","1","Bulk","-","Active","Hex Standoff","Threaded","Male, Female","#2-56","-","0.188"""" (4.78mm) 3/16"""" Hex","0.250"""" (6.35mm) 1/4","0.406"""" (10.32mm)","-","Steel","Chromate, Zinc","Clear"
"http://dpk3n3gg92jwt.cloudfront.net/domains/raf/pdf/RAF%20Catalog.pdf","//media.digikey.com/Photos/RAF%20Electronic%20Hardware/4502-256-S-12.jpg","1772-3005-ND","4502-256-S-12","RAF Electronic Hardware","RAF Electronic Hardware","3/16 HEX X 5/16 LENGTH","1,340","1.08","0","1","Bulk","-","Active","Hex Standoff","Threaded","Male, Female","#2-56","-","0.188"""" (4.78mm) 3/16"""" Hex","0.313"""" (7.94mm)","-","-","Steel","Chromate, Zinc","Clear"
"http://dpk3n3gg92jwt.cloudfront.net/domains/raf/pdf/RAF%20Catalog.pdf","//media.digikey.com/Photos/RAF%20Electronic%20Hardware/4004-256-SS.JPG","1772-3582-ND","4001-256-SS","RAF Electronic Hardware","RAF Electronic Hardware","3/16 RD X 1/4 LENGTH","197","2.91","0","1","Bulk","-","Active","Round Standoff","Threaded","Male, Female","#2-56","-","0.188"""" (4.76mm)","0.250"""" (6.35mm) 1/4","0.406"""" (10.32mm)","-","Stainless Steel","-","-"
"http://dpk3n3gg92jwt.cloudfront.net/domains/raf/pdf/RAF%20Catalog.pdf","//media.digikey.com/photos/RAF%20Electronic%20Hardware/4503T-256-N.JPG","1772-2858-ND","4503T-256-N","RAF Electronic Hardware","RAF Electronic Hardware","3/16 HEX X 13/32 LENGTH","370","3.13","0","1","Bulk","-","Active","Hex Standoff","Threaded","Male, Female","#2-56","-","0.188"""" (4.78mm) 3/16"""" Hex","0.406"""" (10.32mm)","0.563"""" (14.29mm)","-","Nylon","-","-"
"-","-","1772-4013-256-AL-ND","4013-256-AL","RAF Electronic Hardware","RAF Electronic Hardware","3_16_ROUND_MALE_FEMALE_STANDOFFS","2,893","2.6","0","1","Bulk","-","Active","Round Standoff","Threaded","Male, Female","#2-56","-","0.188"""" (4.76mm)","1.000"""" (25.40mm) 1","1.156"""" (29.37mm)","-","Aluminum","-","-"
"-","//media.digikey.com/Photos/RAF Electronic Hardware/4000A-256-AL.jpg","1772-4000A-256-AL-ND","4000A-256-AL","RAF Electronic Hardware","RAF Electronic Hardware","3_16_ROUND_MALE_FEMALE_STANDOFFS","1,284","2.65","0","1","Bulk","-","Active","Round Standoff","Threaded","Male, Female","#2-56","-","0.188"""" (4.76mm)","0.156"""" (3.97mm)","0.313"""" (7.94mm)","-","Aluminum","-","-"
"http://dpk3n3gg92jwt.cloudfront.net/domains/raf/pdf/RAF_catalog_0116.pdf","//media.digikey.com/Photos/RAF%20Electronic%20Hardware/4004-256-SS.JPG","1772-4004-256-SS-20-ND","4004-256-SS-20","RAF Electronic Hardware","RAF Electronic Hardware","3/16 RD X 7/16 LENGTH","275","2.97","0","1","Bulk","*","Active","Round Standoff","Threaded","Male, Female","#2-56","-","0.188"""" (4.76mm)","0.438"""" (11.11mm)","0.438"""" (11.11mm)","-","Stainless Steel","Passivated","-"
"http://dpk3n3gg92jwt.cloudfront.net/domains/raf/pdf/RAF%20Catalog.pdf","//media.digikey.com/Photos/RAF%20Electronic%20Hardware/4001-256-AL.JPG","1772-3767-ND","4001-256-AL","RAF Electronic Hardware","RAF Electronic Hardware","3/16 RD X 1/4 LENGTH","909","0.75","0","1","Bulk","-","Active","Round Standoff","Threaded","Male, Female","#2-56","-","0.188"""" (4.76mm)","0.250"""" (6.35mm) 1/4","0.406"""" (10.32mm)","-","Aluminum","-","-"
"http://dpk3n3gg92jwt.cloudfront.net/domains/raf/pdf/RAF%20Catalog.pdf","//media.digikey.com/Photos/RAF%20Electronic%20Hardware/4512-440-AL.jpg","1772-3464-ND","4513-256-AL","RAF Electronic Hardware","RAF Electronic Hardware","3/16 HEX X 1.00 LENGTH","794","0.91","0","1","Bulk","-","Active","Hex Standoff","Threaded","Male, Female","#2-56","-","0.188"""" (4.78mm) 3/16"""" Hex","1.000"""" (25.40mm) 1","1.156"""" (29.37mm)","-","Aluminum","-","-"
"http://dpk3n3gg92jwt.cloudfront.net/domains/raf/pdf/RAF_catalog_0121.pdf","//media.digikey.com/photos/RAF%20Electronic%20Hardware/4505-256-AL.JPG","1772-1799-ND","4505-256-AL","RAF Electronic Hardware","RAF Electronic Hardware","HEX STANDOFF #2-56 ALUMINUM 1/2""","350","1.03","0","1","Bulk","-","Active","Hex Standoff","Threaded","Male, Female","#2-56","-","0.188"""" (4.78mm) 3/16"""" Hex","0.500"""" (12.70mm) 1/2","0.656"""" (16.66mm)","-","Aluminum","-","-"
"http://dpk3n3gg92jwt.cloudfront.net/domains/raf/pdf/RAF_catalog_0121.pdf","//media.digikey.com/Photos/RAF%20Electronic%20Hardware/4500-256-SS.JPG","1772-1968-ND","4500-256-SS","RAF Electronic Hardware","RAF Electronic Hardware","HEX STANDOFF #2-56 SS 3/16""","257","1.07","0","1","Bulk","-","Active","Hex Standoff","Threaded","Male, Female","#2-56","-","0.188"""" (4.78mm) 3/16"""" Hex","0.188"""" (4.78mm) 3/16","0.344"""" (8.74mm)","-","Stainless Steel","-","-"
"http://dpk3n3gg92jwt.cloudfront.net/domains/raf/pdf/RAF%20Catalog.pdf","//media.digikey.com/photos/RAF%20Electronic%20Hardware/4504-440-SS.jpg","1772-1778-ND","4502-256-SS","RAF Electronic Hardware","RAF Electronic Hardware","HEX STANDOFF #2-56 SS 5/16""","126","1.13","0","1","Bulk","-","Active","Hex Standoff","Threaded","Male, Female","#2-56","-","0.188"""" (4.78mm) 3/16"""" Hex","0.313"""" (7.95mm) 5/16","0.469"""" (11.90mm)","-","Stainless Steel","-","-"
