"Comment","Designator","Footprint","LCSC Part #","Mfg Part No."
"AH1806;SC59","Q1, Q2, ","SOT-23-3","C126664","AH180N-WG-7",$1.82,Extended
"100KΩ;1005","R1, R2, ","0402","C25741","0402WGF1003TCE",$0.04,Basic
