Ref,Val,Package,PosX,PosY,Rot,Side
"Q1","AH1806;SC59","SC59",96.570000,-96.570000,135.000000,top
"Q2","AH1806;SC59","SC59",96.570000,-103.430000,45.000000,top
"R1","100Ω;1005","R_0402_1005Metric",94.900000,-108.500000,270.000000,top
"R2","100Ω;1005","R_0402_1005Metric",92.500000,-94.000000,270.000000,top
