"Source:","/home/wayne/public_html/projects/hbrc_ros_robot_platform/electrical/encoder/rev_a/encoder.sch"
"Date:","Wed 16 Dec 2020 07:47:18 PM PST"
"Tool:","Eeschema 5.1.7-a382d34a8~88~ubuntu18.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","5"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"CN1, ","1","ENCODER;2xM1x3RA","ENCODER;2xM1x3RA","HR2:ENCODER_2xM1x3RA","HR2 Encoder Connectors",""
"Q1, Q2, ","2","AH1806;SC59","AH1806-W","HR2:SC59","High Sensitivity Micropower Omnipolar Hall-Effect Switch, SC-59",""
"R1, R2, ","2","100Ω;1005","R_US","Resistor_SMD:R_0402_1005Metric","Resistor, US symbol",""
