"Designator", "Val","Package","Mid X", "Mid Y","Rotation","Layer","Install"
"R1","100Ω;1005","R_0402_1005Metric","94.900000mm","-108.500000mm","270","top","No"
"R2","100Ω;1005","R_0402_1005Metric","92.500000mm","-94.000000mm","270","top","No"
